subject,subject_type,relation,object,object_type,date
kate,ORANG,BerinvestasiDi,hope business,PRODUK,2021-08-27 20:57:00
hope business,PRODUK,Mengumumkan,promosi,KONSEP,2021-08-27 20:57:00
hope business,PRODUK,Mempengaruhi,uang,INDIKATOR_EKONOMI,2021-08-27 20:57:00
kate,ORANG,Menghasilkan,komisi,INSTRUMEN_FINANSIAL,2021-08-27 20:57:00
kate,ORANG,Mengendalikan,uang,INSTRUMEN_FINANSIAL,2021-08-27 20:57:00
zipmex indonesia,PERUSAHAAN,Mengumumkan,cara berinvestasi,KONSEP,2021-08-27 10:43:00
raymond sutanto,ORANG,Mempengaruhi,tujuan investasi,KONSEP,2021-08-27 10:43:00
gaji umr,INDIKATOR_EKONOMI,BerinvestasiDi,investasi,KONSEP,2021-08-27 10:43:00
satgas covid-19,BADAN_REGULATOR,Berpartisipasi,pelaksanaan kompetisi,KONSEP,2021-08-26 19:30:00
polri,BADAN_REGULATOR,Berpartisipasi,pelaksanaan kompetisi,KONSEP,2021-08-26 19:30:00
bnpb,BADAN_REGULATOR,Berpartisipasi,pelaksanaan kompetisi,KONSEP,2021-08-26 19:30:00
pt liga indonesia baru,PERUSAHAAN,BeroperasiDi,kompetisi liga 1 2021-2022,EVENT,2021-08-26 19:30:00
menteri koordinator kemaritiman dan investasi ri luhut binsar pandjaitan,ORANG,AnggotaDari,penanganan covid-19 jawa-bali,KONSEP,2021-08-26 19:30:00
pt liga indonesia baru,PERUSAHAAN,Mengumumkan,protokol kesehatan,KONSEP,2021-08-26 19:30:00
tarif jalan tol bakauheni-terbanggi besar,KONSEP,Mengumumkan,penyesuaian tarif,KONSEP,2021-08-26 19:00:00
menteri pekerjaan umum dan perumahan rakyat,PEMERINTAHAN,Mengumumkan,surat keputusan,KONSEP,2021-08-26 19:00:00
pt hutama karya (persero),PERUSAHAAN,Mengumumkan,penyesuaian tarif,KONSEP,2021-08-26 19:00:00
regulasi pemerintah,KONSEP,Mempengaruhi,penyesuaian tarif,KONSEP,2021-08-26 19:00:00
regulasi tentang jalan tol,KONSEP,Mempengaruhi,penyesuaian tarif,KONSEP,2021-08-26 19:00:00
standar pelayanan minimal tol bakter,KONSEP,Meningkatkan,penyesuaian tarif,KONSEP,2021-08-26 19:00:00
mnc sekuritas,PERUSAHAAN,Memiliki,lisensi agen penjualan efek reksa dana,KONSEP,2021-08-26 18:12:00
motiontrade,PRODUK,Menghasilkan,portofolio reksa dana,PRODUK,2021-08-26 18:12:00
motiontrade,PRODUK,Mengaitkan,reksa dana,PRODUK,2021-08-26 18:12:00
mnc sekuritas,PERUSAHAAN,Mengumumkan,14 manajer investasi,ORGANISASI,2021-08-26 18:12:00
jalan tol bakauheni-terbanggi besar,SEKTOR,Mengumumkan,penyesuaian tarif,KONSEP,2021-08-26 15:30:00
menteri pekerjaan umum dan perumahan rakyat,PEMERINTAHAN,Mengumumkan,sk nomor 732/kpts/m/2021,KONSEP,2021-08-26 15:30:00
jalan tol bakauheni-terbanggi besar,SEKTOR,Mengaitkan,peraturan presiden nomor 17 tahun 2021,KONSEP,2021-08-26 15:30:00
pt hutama karya (persero),PERUSAHAAN,Mengendalikan,penyesuaian tarif,KONSEP,2021-08-26 15:30:00
pt hutama karya (persero),PERUSAHAAN,Mempengaruhi,investor,ORANG,2021-08-26 15:30:00
jalan tol bakauheni-terbanggi besar,SEKTOR,BerdampakPositif,kepercayaan investor,KONSEP,2021-08-26 15:30:00
pt hutama karya (persero),PERUSAHAAN,Mengendalikan,pelayanan optimal,KONSEP,2021-08-26 15:30:00
jalan tol bakauheni-terbanggi besar,SEKTOR,Meningkatkan,standar pelayanan minimal,KONSEP,2021-08-26 15:30:00
yohannes nangoi,ORANG,Berpartisipasi,investor,ORANG,2021-08-24 13:01:00
pabrikan,PERUSAHAAN,BerinvestasiDi,tanah air,NEGARA,2021-08-24 13:01:00
investasi,KONSEP,BerinvestasiDi,indonesia,NEGARA,2021-08-24 13:01:00
penjualan,INDIKATOR_EKONOMI,Mempengaruhi,investasi,KONSEP,2021-08-24 13:01:00
gaikindo,ORGANISASI,AnggotaDari,yohannes nangoi,ORANG,2021-08-24 13:01:00
pemerintah indonesia,PEMERINTAHAN,Mempengaruhi,penjualan,INDIKATOR_EKONOMI,2021-08-24 13:01:00
pemerintah indonesia,PEMERINTAHAN,Mengumumkan,keputusan,KONSEP,2021-08-24 13:01:00
pemerintah indonesia,PEMERINTAHAN,Mempengaruhi,industri otomotif,SEKTOR,2021-08-24 13:01:00
gabungan industri kendaraan bermotor indonesia,ORGANISASI,Mengumumkan,pemberlakuan pembebasan pajak penjualan atas barang mewah (ppnbm),KONSEP,2021-08-24 13:01:00
strait times singapura,INDIKATOR_EKONOMI,Meningkatkan,"0,7 persen",KONSEP,2021-08-24 12:48:00
shanghai komposit,INDIKATOR_EKONOMI,Meningkatkan,"1,18 persen",KONSEP,2021-08-24 12:48:00
hang seng hong kong,INDIKATOR_EKONOMI,Meningkatkan,"1,78 persen",KONSEP,2021-08-24 12:48:00
indeks nikkei,INDIKATOR_EKONOMI,Meningkatkan,"1,03 persen",KONSEP,2021-08-24 12:48:00
bank bukopin,PERUSAHAAN,Meningkatkan,"5,6 persen",KONSEP,2021-08-24 12:48:00
indah kiat pulp and paper,PERUSAHAAN,Meningkatkan,"8,6 persen",KONSEP,2021-08-24 12:48:00
bank aladin syariah,PERUSAHAAN,Menurunkan,"1,63 persen",KONSEP,2021-08-24 12:48:00
bank bri,PERUSAHAAN,Menurunkan,"1,7 persen",KONSEP,2021-08-24 12:48:00
bank neo commerce,PERUSAHAAN,Meningkatkan,"9,8 persen",KONSEP,2021-08-24 12:48:00
sektor consumer,SEKTOR,Mempengaruhi,ihsg,INDIKATOR_EKONOMI,2021-08-24 12:48:00
sektor property,SEKTOR,Mempengaruhi,ihsg,INDIKATOR_EKONOMI,2021-08-24 12:48:00
sektor trade,SEKTOR,Mempengaruhi,ihsg,INDIKATOR_EKONOMI,2021-08-24 12:48:00
sektor finance,SEKTOR,Mempengaruhi,ihsg,INDIKATOR_EKONOMI,2021-08-24 12:48:00
ihsg,INDIKATOR_EKONOMI,Mengendalikan,jumlah transaksi,INDIKATOR_EKONOMI,2021-08-24 12:48:00
ihsg,INDIKATOR_EKONOMI,Menurunkan,"6.109,82",INDIKATOR_EKONOMI,2021-08-24 12:48:00
bursa efek indonesia,PERUSAHAAN,BeroperasiDi,jakarta,KOTA,2021-08-24 12:48:00
pandemi covid-19,KONSEP,Mempengaruhi,sektor pariwisata dan ekonomi kreatif,SEKTOR,2021-08-24 09:11:00
sandiaga uno,ORANG,Meningkatkan,kapasitas sdm,INDIKATOR_EKONOMI,2021-08-24 09:11:00
sandiaga uno,ORANG,Mengumumkan,nota kesepahaman,KONSEP,2021-08-24 09:11:00
kerja sama,KONSEP,Meningkatkan,peluang investasi parekraf,SEKTOR,2021-08-24 09:11:00
bahlil lahadalia,ORANG,Mengumumkan,pembenahan infrastruktur pariwisata,SEKTOR,2021-08-24 09:11:00
bahlil lahadalia,ORANG,Mengumumkan,investasi di sektor pariwisata,SEKTOR,2021-08-24 09:11:00
badan koordinasi penanaman modal (bkpm),BADAN_REGULATOR,BeroperasiDi,sektor pariwisata dan ekonomi kreatif,SEKTOR,2021-08-24 09:11:00
sandiaga uno,ORANG,Mempengaruhi,sektor pariwisata dan ekonomi kreatif,SEKTOR,2021-08-24 09:11:00
sandiaga uno,ORANG,Mengumumkan,kerja sama dengan badan koordinasi penanaman modal (bkpm),BADAN_REGULATOR,2021-08-24 09:11:00
bahlil lahadalia,ORANG,Mengendalikan,badan koordinasi penanaman modal (bkpm),BADAN_REGULATOR,2021-08-24 09:11:00
bupati banjarnegara budhi sarwono,ORANG,Mengumumkan,menteri koordinator bidang kemaritiman dan investasi luhut binsar pandjaitan,ORANG,2021-08-24 06:20:00
shierly,ORANG,Mengumumkan,fungsi dan tujuan properti,KONSEP,2021-08-24 06:07:00
penghasilan pasif,KONSEP,Menghasilkan,biaya sewa,INSTRUMEN_FINANSIAL,2021-08-24 06:07:00
properti,PRODUK,Mengaitkan,capital gain,KONSEP,2021-08-24 06:07:00
properti,PRODUK,Memperkenalkan,lokasi strategis,KONSEP,2021-08-24 06:07:00
shierly,ORANG,Mengumumkan,market atau pasar yang diinginkan,KONSEP,2021-08-24 06:07:00
pekerja gaji umr,ORANG,Mempengaruhi,cicilan,KONSEP,2021-08-23 19:25:00
oneshildt,PERUSAHAAN,Mempengaruhi,budi raharjo cfp,ORANG,2021-08-23 19:25:00
badan kebijakan fiskal,BADAN_REGULATOR,Mempengaruhi,pemulihan ekonomi nasional,KONSEP,2021-08-23 18:52:00
badan kebijakan fiskal,BADAN_REGULATOR,Mengumumkan,investasi,INDIKATOR_EKONOMI,2021-08-23 18:52:00
badan kebijakan fiskal,BADAN_REGULATOR,Mengumumkan,ekspor,INDIKATOR_EKONOMI,2021-08-23 18:52:00
febrio kacaribu,ORANG,BeroperasiDi,badan kebijakan fiskal,BADAN_REGULATOR,2021-08-23 18:52:00
kementerian keuangan,PEMERINTAHAN,Berpartisipasi,pemulihan ekonomi nasional,KONSEP,2021-08-23 18:52:00
joko widodo,ORANG,Mempengaruhi,pertumbuhan ekonomi,KONSEP,2021-08-23 18:52:00
joko widodo,ORANG,Mengumumkan,transformasi pertumbuhan ekonomi,KONSEP,2021-08-23 18:52:00
indonesia,NEGARA,Mempengaruhi,eodb,INDIKATOR_EKONOMI,2021-08-23 18:52:00
kuliah perdana,EVENT,BeroperasiDi,fakultas ekonomi dan bisnis (feb) universitas brawijaya (ub),PERUSAHAAN,2021-08-23 18:06:00
bahlil lahadalia,ORANG,Mempengaruhi,negara,NEGARA,2021-08-23 18:06:00
badan koordinasi penanaman modal,BADAN_REGULATOR,Mengumumkan,wisata halal,KONSEP,2021-08-23 17:20:00
badan koordinasi penanaman modal,BADAN_REGULATOR,Berpartisipasi,kementerian pariwisata dan ekonomi kreatif,PEMERINTAHAN,2021-08-23 17:20:00
badan koordinasi penanaman modal,BADAN_REGULATOR,BerdampakPositif,ekonomi setempat,INDIKATOR_EKONOMI,2021-08-23 17:20:00
uni emirat arab,NEGARA,BerinvestasiDi,wisata halal,KONSEP,2021-08-23 17:20:00
investor,ORANG,Meningkatkan,demand pariwisata,SEKTOR,2021-08-23 17:20:00
pemerintah,PEMERINTAHAN,Memiliki,insentif fiskal dan non fiskal,KONSEP,2021-08-23 17:20:00
kementerian pariwisata dan ekonomi kreatif,PEMERINTAHAN,Meningkatkan,investasi,INDIKATOR_EKONOMI,2021-08-23 17:20:00
pengadilan tindak pidana korupsi,ORGANISASI,BerdampakNegatif,surat dakwaan,PRODUK,2021-08-23 15:03:00
kejaksaan agung,BADAN_REGULATOR,Mengumumkan,surat dakwaan,PRODUK,2021-08-23 15:03:00
bima suprayoga,ORANG,Mengendalikan,kejaksaan negeri jakarta pusat,ORGANISASI,2021-08-23 15:03:00
leonard eben ezer simanjuntak,ORANG,Mengumumkan,surat dakwaan,PRODUK,2021-08-23 15:03:00
pt asuransi jiwasraya,PERUSAHAAN,BerdampakNegatif,13 perusahaan manajer investasi,PERUSAHAAN,2021-08-23 15:03:00
jaksa penuntut umum,ORGANISASI,Mengumumkan,surat dakwaan,PRODUK,2021-08-23 15:03:00
universitas muhammadiyah jakarta,ORGANISASI,Memperkenalkan,chairul huda,ORANG,2021-08-23 15:03:00
jaksa penuntut umum,ORGANISASI,Mengumumkan,13 perusahaan manajer investasi,PERUSAHAAN,2021-08-23 15:03:00
bursa efek indonesia,BADAN_REGULATOR,Mengumumkan,delisting perusahaan,KONSEP,2021-08-23 13:44:00
saham unicorn,PRODUK,Memiliki,potensi untung yang tinggi,KONSEP,2021-08-23 12:45:00
saham unicorn,PRODUK,Memiliki,risiko yang tinggi,KONSEP,2021-08-23 12:45:00
perusahaan,PERUSAHAAN,BerinvestasiDi,sektor pertanian,SEKTOR,2021-08-23 12:00:00
perusahaan swasta,PERUSAHAAN,Mengendalikan,bidang bursa efek,SEKTOR,2021-08-23 12:00:00
perusahaan belanda,PERUSAHAAN,BeroperasiDi,indonesia,NEGARA,2021-08-23 12:00:00
bursa efek,PRODUK,BeroperasiDi,hindia belanda,WILAYAH,2021-08-23 12:00:00
bursa efek,PRODUK,Meningkatkan,sumber pembiayaan,KONSEP,2021-08-23 12:00:00
bank marga,PERUSAHAAN,BeroperasiDi,bengkulu,KOTA,2021-08-23 12:00:00
bursa efek,PRODUK,Mengaitkan,pasar modal,KONSEP,2021-08-23 12:00:00
bank nagari,PERUSAHAAN,BeroperasiDi,sumatra,WILAYAH,2021-08-23 12:00:00
bank jawa,PERUSAHAAN,Mengendalikan,mata uang,INSTRUMEN_FINANSIAL,2021-08-23 12:00:00
bank jawa,PERUSAHAAN,BerdampakPositif,sistem moneter indonesia,KONSEP,2021-08-23 12:00:00
investor,ORANG,BerdampakNegatif,risiko di pasar saham,KONSEP,2021-08-23 08:10:00
ppkm,KONSEP,Mempengaruhi,angka penyebaran covid-19,KONSEP,2021-08-23 08:10:00
reksa dana saham,PRODUK,Memiliki,tingkat risiko dan volatilitas,KONSEP,2021-08-23 08:10:00
perekonomian indonesia,KONSEP,BerdampakPositif,entry point,KONSEP,2021-08-23 08:10:00
ekonomi asia,KONSEP,Mempengaruhi,peningkatan aktivitas perdagangan,KONSEP,2021-08-23 08:10:00
indonesia,NEGARA,BerdampakPositif,pemulihan ekonomi,KONSEP,2021-08-23 08:10:00
pt manulife aset manajemen indonesia,PERUSAHAAN,Mengumumkan,pemilihan investasi selektif pada sektor usaha,KONSEP,2021-08-23 08:10:00
perekonomian global,KONSEP,Mempengaruhi,mobilitas,KONSEP,2021-08-23 08:10:00
perekonomian global,KONSEP,Mempengaruhi,kepercayaan masyarakat,KONSEP,2021-08-23 08:10:00
pt manulife aset manajemen indonesia,PERUSAHAAN,Mengaitkan,vaksinasi,KONSEP,2021-08-23 08:10:00
saham,INSTRUMEN_FINANSIAL,Menghasilkan,keuntungan sekitar 12 sampai 14 persen per tahun,INDIKATOR_EKONOMI,2021-08-21 18:18:00
indeks harga saham gabungan (ihsg),INDIKATOR_EKONOMI,Mempengaruhi,return investasi saham,INDIKATOR_EKONOMI,2021-08-21 18:18:00
bursa efek indonesia (bei),BADAN_REGULATOR,Memiliki,informasi tentang emiten atau perusahaan,PERUSAHAAN,2021-08-21 18:18:00
indeks harga saham gabungan,INDIKATOR_EKONOMI,Mengaitkan,kondisi ekonomi,KONSEP,2021-08-20 21:37:00
manajer investasi,ORGANISASI,BerdampakNegatif,investor,ORANG,2021-08-20 21:37:00
reksa dana campuran bastra,PRODUK,Menghasilkan,kinerja kumulatif sekitar 59 persen,INDIKATOR_EKONOMI,2021-08-20 21:37:00
anton dirga,ORANG,Mempengaruhi,manajer investasi,ORGANISASI,2021-08-20 21:37:00
trimegah asset management,PERUSAHAAN,BeroperasiDi,reksa dana campuran,PRODUK,2021-08-20 21:37:00
reksa dana campuran,PRODUK,Memperkenalkan,instrumen investasi,KONSEP,2021-08-20 21:37:00
kejaksaan negeri jakarta pusat,ORGANISASI,Mengumumkan,berkas tersangka 13 perusahaan manajer investasi,PERUSAHAAN,2021-08-20 20:15:00
kejaksaan negeri jakarta pusat,ORGANISASI,BeroperasiDi,jakarta pusat,KOTA,2021-08-20 20:15:00
kejaksaan agung,ORGANISASI,Meningkatkan,profesionalisme,KONSEP,2021-08-20 20:15:00
30 mitra distribusi,ORGANISASI,Berpartisipasi,sistem e-sbn,KONSEP,2021-08-20 16:48:00
sukuk ritel seri sr015,PRODUK,BerinvestasiDi,investor,ORANG,2021-08-20 16:48:00
pemerintah,PEMERINTAHAN,Mengendalikan,pajak,INDIKATOR_EKONOMI,2021-08-20 16:48:00
sukuk ritel seri sr015,PRODUK,Meningkatkan,nilai investasi minimal,INDIKATOR_EKONOMI,2021-08-20 16:48:00
bank-bank milik bumn,PERUSAHAAN,Mempengaruhi,deposito,INSTRUMEN_FINANSIAL,2021-08-20 16:48:00
sukuk ritel seri sr015,PRODUK,Menghasilkan,tingkat imbal hasil,INDIKATOR_EKONOMI,2021-08-20 16:48:00
pemerintah,PEMERINTAHAN,Mengumumkan,sukuk ritel seri sr015,PRODUK,2021-08-20 16:48:00
tokopedia,PERUSAHAAN,BerdampakPositif,transaksi jual-beli emas,KONSEP,2021-08-20 14:47:00
logam mulia emas,PRODUK,BerinvestasiDi,platform digital,KONSEP,2021-08-20 14:47:00
sukuk ritel sr015,PRODUK,Memiliki,tenor,KONSEP,2021-08-20 14:23:00
dwi irianti hadiningdyah,ORANG,BerdampakPositif,generasi milenial,NEGARA,2021-08-20 14:23:00
sukuk ritel sr015,PRODUK,BerdampakPositif,warga negara indonesia,NEGARA,2021-08-20 14:23:00
sukuk ritel sr015,PRODUK,Memperkenalkan,jangka waktu tiga tahun,KONSEP,2021-08-20 14:23:00
pemerintah,PEMERINTAHAN,Mengendalikan,sukuk ritel,PRODUK,2021-08-20 14:23:00
pemerintah,PEMERINTAHAN,Mengumumkan,sukuk ritel seri sr015,PRODUK,2021-08-20 14:23:00
pemerintah,PEMERINTAHAN,Memperkenalkan,uu cipta kerja,KONSEP,2021-08-20 13:37:00
john lewis partnership,PERUSAHAAN,BerdampakNegatif,kondisi usaha,INDIKATOR_EKONOMI,2021-08-20 09:00:00
john lewis partnership,PERUSAHAAN,BerinvestasiDi,investasi saham,PRODUK,2021-08-20 09:00:00
john lewis partnership,PERUSAHAAN,BerinvestasiDi,rekning tabungan,PRODUK,2021-08-20 09:00:00
john lewis partnership,PERUSAHAAN,BerdampakPositif,produk investasi,PRODUK,2021-08-20 09:00:00
john lewis partnership,PERUSAHAAN,BeroperasiDi,pasar properti,KONSEP,2021-08-20 09:00:00
pandemi covid-19,KONSEP,Mempengaruhi,kondisi keuangan perusahaan,INDIKATOR_EKONOMI,2021-08-20 09:00:00
john lewis partnership,PERUSAHAAN,Memiliki,jaringan department store john lewis,PERUSAHAAN,2021-08-20 09:00:00
john lewis partnership,PERUSAHAAN,Menghasilkan,keuntungan,INDIKATOR_EKONOMI,2021-08-20 09:00:00
john lewis partnership,PERUSAHAAN,Memiliki,"supermarket kelas atas, waitrose",PERUSAHAAN,2021-08-20 09:00:00
ridwan kamil,ORANG,Mengumumkan,road to west java investment summit 2021,EVENT,2021-08-19 16:24:00
jawa barat,WILAYAH,Meningkatkan,pengembangan ekosistem investasi,KONSEP,2021-08-19 16:24:00
bank indonesia,BADAN_REGULATOR,BeroperasiDi,jawa barat,WILAYAH,2021-08-19 16:24:00
jawa barat,WILAYAH,Mempengaruhi,posisi jabar sebagai tujuan prioritas investasi,KONSEP,2021-08-19 16:24:00
pertumbuhan ekonomi batam,INDIKATOR_EKONOMI,Meningkatkan,permintaan akan properti,KONSEP,2021-08-19 16:00:00
pt wiwoa miti karya batam,PERUSAHAAN,BerinvestasiDi,kawasan superblok one avenue batam,PRODUK,2021-08-19 16:00:00
m. syist,ORANG,Mengumumkan,penjualan perangkat lunak (software) robot trading,PRODUK,2021-08-19 05:10:00
kementerian perdagangan,PEMERINTAHAN,BerinvestasiDi,legalitas pelaku usaha,KONSEP,2021-08-19 05:10:00
oknum tidak bertanggung jawab,ORANG,Mempengaruhi,masyarakat,ORANG,2021-08-19 05:10:00
investor,ORANG,Menurunkan,potensi kerugian dari pbk,INDIKATOR_EKONOMI,2021-08-19 05:10:00
investor,ORANG,Meningkatkan,keuntungan dari pbk,INDIKATOR_EKONOMI,2021-08-19 05:10:00
bappebti,BADAN_REGULATOR,Mempengaruhi,investasi forex,INDIKATOR_EKONOMI,2021-08-19 05:10:00
kementerian komunikasi dan informatika,PEMERINTAHAN,BerdampakPositif,pemblokiran 82 domain situs web,KONSEP,2021-08-19 05:10:00
badan pengawas perdagangan berjangka komoditi,BADAN_REGULATOR,BeroperasiDi,bidang perdagangan berjangka komoditi,SEKTOR,2021-08-19 05:10:00
kementerian perdagangan,PEMERINTAHAN,Mengumumkan,pemblokiran 82 domain situs web,KONSEP,2021-08-19 05:10:00
kejaksaan negeri jakarta pusat,PEMERINTAHAN,Mengumumkan,13 perusahaan manajer investasi,PERUSAHAAN,2021-08-18 19:28:00
kejaksaan agung,PEMERINTAHAN,Mengumumkan,dakwaan 13 tersangka perusahaan mi,KONSEP,2021-08-18 19:28:00
pt qspac,PERUSAHAAN,Mengendalikan,program bbk murah,KONSEP,2021-08-18 19:16:00
pemkot batam,PEMERINTAHAN,Mengaitkan,bantuan alat pelacakan kontak erat covid-19 dari pemerintah singapura,KONSEP,2021-08-18 19:16:00
kadin kepri,ORGANISASI,Meningkatkan,jumlah investor,INDIKATOR_EKONOMI,2021-08-18 19:16:00
ahmad ma'ruf maulana,ORANG,Mempengaruhi,investor,ORANG,2021-08-18 19:16:00
pt qspac,PERUSAHAAN,BeroperasiDi,batam,KOTA,2021-08-18 19:16:00
kamar dagang dan industri (kadin) kepulauan riau (kepri),ORGANISASI,Mengumumkan,program batam bintan karimun (bbk) murah,KONSEP,2021-08-18 19:16:00
kadin kepri,ORGANISASI,BerinvestasiDi,program bbk murah,KONSEP,2021-08-18 19:16:00
pt monex investindo futures,PERUSAHAAN,BeroperasiDi,trading forex,SEKTOR,2021-08-16 18:07:00
forex,INSTRUMEN_FINANSIAL,Memiliki,volatilitas tinggi,KONSEP,2021-08-16 18:07:00
forex,INSTRUMEN_FINANSIAL,Mempengaruhi,transaksi pertukaran mata uang asing,KONSEP,2021-08-16 18:07:00
pt indofood cbp sukses makmur tbk,PERUSAHAAN,BeroperasiDi,indonesia,NEGARA,2021-08-16 11:24:00
icbp,PRODUK,Mempengaruhi,mahar,KONSEP,2021-08-16 11:24:00
kharisma salsabila rahim,ORANG,Mengaitkan,saham,PRODUK,2021-08-16 11:24:00
pt indofood cbp sukses makmur tbk,PERUSAHAAN,Menghasilkan,ihk 220 lot saham,PRODUK,2021-08-16 11:24:00
mnc sekuritas,PERUSAHAAN,Memiliki,andyras barutu,ORANG,2021-08-16 11:24:00
andyras barutu,ORANG,BerinvestasiDi,pt indofood cbp sukses makmur tbk,PERUSAHAAN,2021-08-16 11:24:00
pt tbe,PERUSAHAAN,BeroperasiDi,waduk tembesi,WILAYAH,2021-08-16 10:59:00
sunseap group,PERUSAHAAN,Mengumumkan,rencana investasi senilai rp 29 triliun,INSTRUMEN_FINANSIAL,2021-08-16 10:59:00
sunseap group,PERUSAHAAN,BerinvestasiDi,batam,KOTA,2021-08-16 10:59:00
badan pengusahaan (bp) batam,BADAN_REGULATOR,Mengaitkan,panel surya,PRODUK,2021-08-16 10:59:00
badan pengusahaan (bp) batam,BADAN_REGULATOR,BerdampakNegatif,emisi karbon,INDIKATOR_EKONOMI,2021-08-16 10:59:00
pt tbe,PERUSAHAAN,Menghasilkan,tenaga listrik sebesar 333 megawatt (mw),INDIKATOR_EKONOMI,2021-08-16 10:59:00
batam,KOTA,BeroperasiDi,wadu duriangkang,WILAYAH,2021-08-16 10:59:00
pt toba bara energi (tbe),PERUSAHAAN,Mengumumkan,investasi senilai rp 7 triliun,INSTRUMEN_FINANSIAL,2021-08-16 10:59:00
pt toba bara energi (tbe),PERUSAHAAN,BerinvestasiDi,batam,KOTA,2021-08-16 10:59:00
bp batam,BADAN_REGULATOR,BerdampakPositif,masyarakat batam,ORGANISASI,2021-08-16 10:59:00
bp batam,BADAN_REGULATOR,Meningkatkan,dukungan bagi industri,KONSEP,2021-08-16 10:59:00
bp batam,BADAN_REGULATOR,Meningkatkan,kapasitas ketersediaan listrik,KONSEP,2021-08-16 10:59:00
badan pengusahaan (bp) batam,BADAN_REGULATOR,Mengendalikan,penerimaan negara bukan pajak (pnbp),INDIKATOR_EKONOMI,2021-08-16 10:59:00
badan pengusahaan (bp) batam,BADAN_REGULATOR,Mempengaruhi,investasi,INSTRUMEN_FINANSIAL,2021-08-16 10:59:00
whisnu hermawan februanto,ORANG,Mengumumkan,penyidik masih mendalami dugaan tindak pidana pencucian uang oleh para tersangka,KONSEP,2021-08-16 10:50:00
mr,ORANG,AnggotaDari,edccash,PERUSAHAAN,2021-08-16 10:50:00
aw,ORANG,AnggotaDari,edccash,PERUSAHAAN,2021-08-16 10:50:00
sy,ORANG,AnggotaDari,edccash,PERUSAHAAN,2021-08-16 10:50:00
ek,ORANG,AnggotaDari,edccash,PERUSAHAAN,2021-08-16 10:50:00
abdulrahman yusuf,ORANG,AnggotaDari,edccash,PERUSAHAAN,2021-08-16 10:50:00
whisnu hermawan februanto,ORANG,Mengumumkan,total ada lima berkas perkara dengan enam orang tersangka,KONSEP,2021-08-16 10:50:00
whisnu hermawan februanto,ORANG,Mempengaruhi,pelimpahan tahap dua kasus edc cash,KONSEP,2021-08-16 10:50:00
kejaksaan negeri kota bekasi,PEMERINTAHAN,BeroperasiDi,kasus investasi ilegal e-dinar coin (edc) cash,KONSEP,2021-08-16 10:50:00
bareskrim polri,ORGANISASI,Mengumumkan,berkas perkara tahap dua kasus investasi ilegal e-dinar coin (edc) cash,KONSEP,2021-08-16 10:50:00
undang-undang cipta kerja,KONSEP,Mempengaruhi,lapangan pekerjaan baru yang berkualitas,INDIKATOR_EKONOMI,2021-08-16 10:39:00
indonesia,NEGARA,Meningkatkan,perekonomian nasional,INDIKATOR_EKONOMI,2021-08-16 10:39:00
joko widodo,ORANG,Mengumumkan,realisasi investasi indonesia pada periode januari-juni 2021,INDIKATOR_EKONOMI,2021-08-16 10:39:00
joko widodo,ORANG,Mengumumkan,target realisasi investasi sebesar rp 900 triliun,INDIKATOR_EKONOMI,2021-08-16 10:39:00
joko widodo,ORANG,Meningkatkan,lapangan kerja,INDIKATOR_EKONOMI,2021-08-16 10:39:00
pemerintah,PEMERINTAHAN,Mengumumkan,nilai transaksi perdagangan digital indonesia,INDIKATOR_EKONOMI,2021-08-16 10:31:00
pemerintah,PEMERINTAHAN,Memperkenalkan,ekonomi hijau dan ekonomi biru berkelanjutan,KONSEP,2021-08-16 10:31:00
pemerintah,PEMERINTAHAN,Mempengaruhi,ekonomi berbasis inovasi dan teknologi,KONSEP,2021-08-16 10:31:00
jokowi,ORANG,Mengumumkan,transformasi menuju energi baru dan terbarukan,KONSEP,2021-08-16 10:31:00
presiden joko widodo,ORANG,Mengumumkan,peningkatan kelas usaha mikro kecil dan menengah (umkm),KONSEP,2021-08-16 10:31:00
presiden joko widodo,ORANG,Mengumumkan,target penambahan investasi,KONSEP,2021-08-16 10:22:00
investasi indonesia,KONSEP,Meningkatkan,620.000 tenaga kerja indonesia,INDIKATOR_EKONOMI,2021-08-16 10:03:00
investasi indonesia,KONSEP,BeroperasiDi,luar pulau jawa,WILAYAH,2021-08-16 10:03:00
sistem online single submission (oss),KONSEP,Mengumumkan,insentif,KONSEP,2021-08-16 10:03:00
investasi indonesia,KONSEP,Menghasilkan,"rp 442,8 triliun",INDIKATOR_EKONOMI,2021-08-16 10:03:00
sistem online single submission (oss),KONSEP,Mengumumkan,pajak,KONSEP,2021-08-16 10:03:00
investasi indonesia,KONSEP,BeroperasiDi,pulau jawa,WILAYAH,2021-08-16 10:03:00
sistem online single submission (oss),KONSEP,Mengumumkan,perizinan,KONSEP,2021-08-16 10:03:00
pemerintah,PEMERINTAHAN,Meningkatkan,lapangan pekerjaan baru,KONSEP,2021-08-16 10:03:00
joko widodo,ORANG,Mengumumkan,ekspor,KONSEP,2021-08-16 10:03:00
joko widodo,ORANG,Mengumumkan,investasi,KONSEP,2021-08-16 10:03:00
joko widodo,ORANG,Mengumumkan,hilirisasi,KONSEP,2021-08-16 10:03:00
joko widodo,ORANG,Mengumumkan,struktur penopang ekonomi,KONSEP,2021-08-16 10:03:00
undang-undang cipta kerja,KONSEP,Mengendalikan,implementasi,KONSEP,2021-08-16 10:03:00
